v2paenname,country_name,year,v2xpa_antiplural,v2xpa_popul,v2paseatshare,v2panumbseat,v2patotalseat,v2pavote,v2paallian,v2pavallian,v2panoallian,v2pagovsup,v2papariah,v2paanteli,v2papeople,v2paopresp,v2paplur,v2paminor,v2paviol,v2paimmig,v2palgbt,v2paculsup,v2parelig,v2pagender,v2pawomlab,v2pariglef,v2pawelf,v2paclient
National Action Party,Mexico,1961,,,2.8,5,178,7.6,0,,,,,,,,,,,,,,,,,,,
National Action Party,Mexico,1964,,,9.5,20,210,11.5,0,,,,,,,,,,,,,,,,,,,
National Action Party,Mexico,1967,,,9.4,20,212,12.3,0,,,,,,,,,,,,,,,,,,,
National Action Party,Mexico,1970,0.093,0.182,13.1,28,213,14.2,0,,,3,,-0.509,-2.313,0.284,1.289,1.492,1.611,-1.286,-2.484,-0.194,-0.962,-0.252,-2.377,1.986,-2.457,-1.358
National Action Party,Mexico,1973,0.091,0.187,11.3,26,231,16.4,0,,,3,,-0.432,-2.313,0.444,1.289,1.492,1.611,-1.254,-2.484,-0.194,-0.962,-0.252,-2.377,1.83,-2.457,-1.358
National Action Party,Mexico,1976,0.119,0.187,8.5,20,236,9,0,,,3,,-0.432,-2.313,0.567,1.031,1.291,1.611,-1.254,-2.484,-0.194,-0.883,-0.252,-2.377,1.83,-2.457,-1.358
National Action Party,Mexico,1979,0.089,0.206,10.8,43,400,11.8,0,,,3,-1.074,-0.513,-2.08,0.567,1.308,1.44,1.611,-1.254,-2.484,-0.205,-0.884,-0.252,-2.287,1.83,-2.457,-1.253
National Action Party,Mexico,1982,0.095,0.187,12.8,51,400,18,0,,,3,,-0.424,-2.301,0.291,1.308,1.44,1.611,-1.254,-2.484,-0.183,-0.884,-0.252,-2.036,1.83,-2.164,-1.261
National Action Party,Mexico,1985,0.1,0.188,10.3,41,400,16.7,0,,,3,,-0.417,-2.299,0.438,1.308,1.264,1.611,-1.254,-2.484,-0.183,-0.798,-0.107,-2.036,2.032,-2.087,-1.251
National Action Party,Mexico,1988,0.12,0.231,20.2,101,500,18,0,,,3,-0.763,-0.433,-1.894,0.009,1.3,1.461,1.141,-1.254,-2.1,-0.183,-0.798,0.006,-1.89,1.997,-2.087,-1.251
National Action Party,Mexico,1991,0.114,0.216,17.8,89,500,17.7,0,,,3,-0.736,-0.619,-1.907,0.29,1.333,1.245,1.33,-1.254,-2.1,-0.183,-0.798,0.125,-1.719,1.997,-2.11,-0.628
National Action Party,Mexico,1994,0.12,0.168,23.8,119,500,25.8,0,,,3,-0.547,-0.769,-2.313,0.08,1.219,1.245,1.521,-1.254,-2.052,-0.183,-0.798,0.503,-1.69,1.997,-1.91,-0.5
National Action Party,Mexico,1997,0.081,0.168,24.2,121,500,26.6,0,,,3,-0.191,-0.769,-2.313,0.215,1.5,1.576,1.521,-1.223,-1.777,-0.183,-0.798,0.617,-1.462,1.997,-1.91,-0.081
National Action Party,Mexico,2000,0.126,0.169,42.2,211,500,38.2,1,38.2,224,0,0.915,-1.191,-1.861,-0.335,1.242,1.576,1.187,-1.223,-1.67,-0.211,-0.893,1.182,-1.116,2.254,-1.486,-0.081
National Action Party,Mexico,2003,0.152,0.154,30.6,153,500,31.8,0,,,0,0.289,-1.303,-1.962,0.174,1.009,1.283,1.187,-1.278,-1.677,0.13,-0.893,1.182,-0.624,2.254,-1.594,0.004
National Action Party,Mexico,2006,0.28,0.109,41.2,206,500,34.3,0,,,0,-0.026,-1.632,-2.25,-0.867,0.374,1.158,1.084,-1.278,-1.688,0.13,-0.813,1.452,-0.624,2.012,-1.594,0.119
National Action Party,Mexico,2009,0.16,0.109,28.6,143,500,29.6,0,,,0,0.254,-1.632,-2.25,0.173,0.993,1.258,1.097,-1.278,-1.688,0.13,-0.813,1.452,-0.624,1.872,-1.594,0.196
National Action Party,Mexico,2012,0.182,0.142,22.8,114,500,27.3,0,,,3,0.254,-1.245,-2.25,-0.049,0.797,1.258,1.228,-1.278,-1.433,0.13,-0.813,2.029,-0.624,2.013,-1.594,0.366
National Action Party,Mexico,2015,0.153,0.134,21.8,109,500,21,0,,,3,0.254,-1.319,-2.25,-0.093,0.984,1.403,1.228,-1.27,-1.312,0.13,-0.735,1.648,-0.624,2.013,-1.578,0.366
National Action Party,Mexico,2018,0.139,0.159,16.6,83,500,17.9,0,,,3,0.911,-0.984,-2.25,-0.749,1.111,1.678,1.297,-1.22,-1.312,0.13,-0.735,1.682,-0.463,1.97,-1.578,0.366
Labor Party,Mexico,2006,0.62,0.725,3.6,18,500,,1,29.7,158,3,-0.012,1.746,0.661,-0.99,-0.246,-0.74,0.376,0.907,0.878,0.713,2.183,-0.065,1.047,-2.844,2.155,0.757
Labor Party,Mexico,2018,0.609,0.655,12.2,61,500,3.9,0,,,2,0.427,0.98,0.795,-1.055,-0.131,-0.87,0.437,0.793,1.188,0.557,2.165,0.191,1.061,-2.507,2.173,0.815
Convergence / Citizens' Movement,Mexico,2006,0.262,0.494,2.8,14,500,,1,29.7,158,3,0.056,0.533,-0.286,0.613,0.537,0.525,0.945,0.457,1.045,0.731,0.882,0.415,0.544,-0.852,0.189,-0.093
Convergence / Citizens' Movement,Mexico,2015,0.199,0.434,5,25,500,6.1,0,,,3,-0.073,0.206,-0.516,0.797,0.711,0.912,1.007,0.452,1.228,0.71,1.001,0.921,0.655,-0.828,0.761,-0.084
Convergence / Citizens' Movement,Mexico,2018,0.184,0.434,5.4,27,500,4.4,0,,,3,0.556,0.206,-0.516,0.58,0.794,1.079,1.007,0.876,1.198,0.641,0.95,1.528,0.65,-0.828,0.508,-0.203
Institutional Revolutionary Party,Mexico,1940,,,99.4,172,173,,0,,,,,,,,,,,,,,,,,,,
Institutional Revolutionary Party,Mexico,1943,,,100,147,147,92.1,0,,,,,,,,,,,,,,,,,,,
Institutional Revolutionary Party,Mexico,1946,,,95.9,141,147,73.5,0,,,,,,,,,,,,,,,,,,,
Institutional Revolutionary Party,Mexico,1949,,,96.6,142,147,93.9,0,,,,,,,,,,,,,,,,,,,
Institutional Revolutionary Party,Mexico,1952,,,93.8,151,161,74.3,0,,,,,,,,,,,,,,,,,,,
Institutional Revolutionary Party,Mexico,1955,,,94.4,152,161,89.9,0,,,,,,,,,,,,,,,,,,,
Institutional Revolutionary Party,Mexico,1958,,,94.4,153,162,88.2,0,,,,,,,,,,,,,,,,,,,
Institutional Revolutionary Party,Mexico,1961,,,96.6,172,178,90.7,0,,,,,,,,,,,,,,,,,,,
Institutional Revolutionary Party,Mexico,1964,,,83.3,175,210,86.4,0,,,,,,,,,,,,,,,,,,,
Institutional Revolutionary Party,Mexico,1967,,,83.5,177,212,83.9,0,,,,,,,,,,,,,,,,,,,
Institutional Revolutionary Party,Mexico,1970,0.971,0.199,83.6,178,213,83.4,0,,,0,,-1.363,-0.572,1.565,-3.514,-0.611,-1.654,-0.462,-0.564,0.118,1.409,-0.399,-0.971,-0.601,0.654,2.259
Institutional Revolutionary Party,Mexico,1973,0.961,0.196,81.8,189,231,77.6,0,,,0,,-1.386,-0.572,1.565,-3.221,-0.611,-1.654,-0.454,-0.564,0.118,1.409,-0.399,-0.971,-0.684,0.654,2.259
Institutional Revolutionary Party,Mexico,1976,0.943,0.131,82.6,195,236,85.2,0,,,0,,-1.815,-0.18,1.411,-2.9,-0.611,-1.407,-0.454,-0.45,0.139,1.409,-0.151,-0.971,-0.594,0.654,2.259
Institutional Revolutionary Party,Mexico,1979,0.88,0.13,74,296,400,72.8,0,,,0,-0.736,-1.815,-0.235,1.563,-2.172,-0.467,-1.249,-0.454,-0.355,0.139,1.409,-0.151,-0.969,-0.524,0.654,2.259
Institutional Revolutionary Party,Mexico,1982,0.871,0.11,74.8,299,400,67.8,0,,,0,,-1.946,-0.594,1.747,-2.407,-0.361,-0.76,-0.49,-0.355,0.179,1.409,0.059,-0.742,0.543,-1.114,2.259
Institutional Revolutionary Party,Mexico,1985,0.874,0.109,72.3,289,400,64.8,0,,,0,,-1.946,-0.731,1.563,-2.472,-0.195,-0.76,-0.49,-0.355,0.204,1.409,0.231,-0.58,0.922,-1.114,2.259
Institutional Revolutionary Party,Mexico,1988,0.946,0.107,52,260,500,51.2,0,,,0,-1.007,-1.946,-0.901,0.56,-3.128,-0.485,-0.759,-0.49,-0.355,0.204,1.409,0.553,-0.074,1.016,-1.043,2.259
Institutional Revolutionary Party,Mexico,1991,0.775,0.132,64,320,500,61.5,0,,,0,-0.491,-1.764,-0.901,1.075,-1.679,-0.045,-0.548,-0.506,-0.355,0.204,1.409,0.804,0.082,0.898,-0.914,2.675
Institutional Revolutionary Party,Mexico,1994,0.654,0.111,60,300,500,50.3,0,,,0,-0.491,-1.895,-1.05,0.905,-1.069,0.252,-0.351,-0.512,-0.216,0.204,1.409,1.239,0.082,0.825,-1.263,2.569
Institutional Revolutionary Party,Mexico,1997,0.517,0.111,47.8,239,500,39.1,0,,,0,-0.502,-1.895,-1.05,1.051,-0.604,0.572,-0.107,-0.512,-0.137,0.204,1.409,1.278,0.082,0.825,-1.418,2.569
Institutional Revolutionary Party,Mexico,2000,0.438,0.208,41.6,208,500,36.9,0,,,3,-0.11,-1.225,-1.05,0.438,-0.253,0.764,0.229,-0.512,-0.054,0.204,1.409,1.8,0.086,0.753,-1.413,2.569
Institutional Revolutionary Party,Mexico,2003,0.419,0.205,44.4,222,500,34.5,0,,,3,0.487,-1.262,-0.904,0.451,-0.068,0.547,0.229,-0.512,-0.139,0.431,1.409,1.8,0.086,0.663,-1.538,2.569
Institutional Revolutionary Party,Mexico,2006,0.494,0.202,20.8,104,500,,1,28.9,119,3,0.509,-1.262,-1.035,-0.049,-0.331,0.547,0.211,-0.512,-0.139,0.431,1.409,1.619,0.086,0.663,-1.36,2.569
Institutional Revolutionary Party,Mexico,2009,0.452,0.174,47.4,237,500,39,0,,,3,0.788,-1.456,-1.035,0.563,-0.271,0.547,0.211,-0.512,-0.341,0.431,1.409,1.844,0.243,0.558,-1.419,2.86
Institutional Revolutionary Party,Mexico,2012,0.483,0.091,42.4,212,500,33.6,0,,,0,0.924,-2.069,-0.969,0.468,-0.401,0.544,0.211,-0.512,-0.351,0.431,0.966,2.596,0.243,1.016,-1.204,3.017
Institutional Revolutionary Party,Mexico,2015,0.483,0.091,40.6,203,500,29.2,0,,,0,0.895,-2.069,-1.095,0.468,-0.387,0.575,0.18,-0.711,-0.089,0.431,0.966,2.307,0.082,1.016,-1.204,3.017
Institutional Revolutionary Party,Mexico,2018,0.474,0.138,9,45,500,16.5,0,,,3,0.658,-1.69,-1.148,0.152,-0.354,0.686,0.223,-0.711,-0.208,0.428,0.966,2.307,0.082,0.949,-1.204,2.384
Mexican Communist Party,Mexico,1979,0.529,0.79,4.5,18,400,5.4,0,,,3,-2.699,2.971,0.621,-0.909,0.107,0.166,-0.267,0.542,0.523,0.713,2.115,-0.4,0.554,-3.104,2.651,-1.488
National Democratic Front,Mexico,1988,0.353,0.677,27.8,139,500,29,0,,,3,-1.08,1.643,0.326,-0.815,0.507,0.095,1.018,0.053,0.539,0.769,1.405,-0.087,0.32,-1.719,1.226,-0.475
Alliance for Mexico 2000,Mexico,2000,,,,,,,2,18.7,65,,,,,,,,,,,,,,,,,
National Regeneration Movement,Mexico,2015,0.661,0.939,7,35,500,8.4,0,,,3,-0.558,2.885,2.499,-2.45,0.283,-1.184,0.007,0.867,1.26,0.85,-0.13,1.238,1.493,-1.879,1.509,0.859
National Regeneration Movement,Mexico,2018,0.7,0.98,37.8,189,500,37.3,0,,,0,-0.057,3.415,3.476,-2.776,0.14,-1.256,0.007,0.844,1.205,0.873,-0.288,1.29,0.943,-1.698,1.442,1.019
Social Encounter Party,Mexico,2018,0.29,0.275,11.2,56,500,2.4,0,,,2,0.203,-0.694,-1.106,0.787,0.208,0.54,1.05,0.208,-1.558,0.001,-1.524,0.22,-2.354,0.869,-0.519,0.093
alliance: Alanza por el Cambio,Mexico,2000,,,,,,,2,38.2,224,,,,,,,,,,,,,,,,,
alliance: Coalition for the Good of All,Mexico,2006,,,,,,29.7,2,29.7,158,,,,,,,,,,,,,,,,,
alliance: Alliance for Mexico (2006),Mexico,2006,,,,,,28.9,2,28.9,119,,,,,,,,,,,,,,,,,
Party for Democracy and Development through Unity,Suriname,2010,,,2,1,51,5.1,0,,,,,,,,,,,,,,,,,,,
Political Wing of the FAL,Suriname,1996,,,,,,,1,8.4,3,,,,,,,,,,,,,,,,,
Political Wing of the FAL,Suriname,2005,,,,,,,1,6.2,3,,,,,,,,,,,,,,,,,
Renewed Progressive Party,Suriname,1977,,,,,,,1,45.4,22,,,,,,,,,,,,,,,,,
Renewed Progressive Party,Suriname,1996,,,,,,,1,8.4,3,,,,,,,,,,,,,,,,,
Basic Party for Renewal and Democracy,Suriname,2005,,,,,,,1,14.5,5,,,,,,,,,,,,,,,,,
Democratic Alternative,Suriname,1991,,,17.6,9,51,16.7,0,,,,,,,,,,,,,,,,,,,
Democratic Alternative,Suriname,1996,,,7.8,4,51,13,0,,,,,,,,,,,,,,,,,,,
Democratic Alternative,Suriname,2000,,,3.9,2,51,6.1,0,,,,,,,,,,,,,,,,,,,
Democratic Alternative,Suriname,2005,,,,,,,1,6.2,3,,,,,,,,,,,,,,,,,
Democratic Alternative,Suriname,2010,,,,,,,1,31.6,14,3,,,-1.197,,,,,,,,,,,,,
Democratic Alternative,Suriname,2015,,,,,,,1,37.3,18,3,,,-1.197,,,,,,,,,,,,,
Democratic National Platform 2000,Suriname,2000,,,5.9,3,51,10,0,,,,,,,,,,,,,,,,,,,
Democratic National Platform 2000,Suriname,2005,,,,,,,1,14.5,5,,,,,,,,,,,,,,,,,
National Democratic Party,Suriname,1987,,,5.9,3,51,9.3,0,,,,,,,,,,,,,,,,,,,
National Democratic Party,Suriname,1991,,,23.5,12,51,21.7,0,,,,,,,,,,,,,,,,,,,
National Democratic Party,Suriname,1996,,,31.4,16,51,26.2,0,,,,,,,,,,,,,,,,,,,
National Democratic Party,Suriname,2000,,,,,,,1,15.1,10,,,,,,,,,,,,,,,,,
National Democratic Party,Suriname,2005,,,29.4,15,51,23.1,0,,,,,,,,,,,,,,,,,,,
National Democratic Party,Suriname,2010,,,,,,,1,40.2,23,0,,,2.383,,0.148,-2.598,-0.894,,0.181,1.177,-0.978,-0.641,-1.078,-1.707,-1.996,1.378
National Democratic Party,Suriname,2015,,,51,26,51,45.5,0,,,0,,,2.383,,0.134,-2.58,-0.88,,0.18,1.186,-1.006,-0.598,-1.077,-1.686,-1.974,1.368
Pendawa Lima,Suriname,1977,,,,,,,1,44.1,17,,,,,,,,,,,,,,,,,
Pendawa Lima,Suriname,1996,,,7.8,4,51,9.2,0,,,,,,,,,,,,,,,,,,,
Pendawa Lima,Suriname,2005,,,,,,,1,41.1,23,,,,,,,,,,,,,,,,,
Pendawa Lima,Suriname,2010,,,,,,,1,13,6,1,,,2.357,,,,,,,,,,,,,
Pendawa Lima,Suriname,2015,,,,,,,1,37.3,18,,,,,,,,,,,,,,,,,
National Party of Suriname,Suriname,1949,,,61.9,13,21,,0,,,,,,,,,,,,,,,,,,,
National Party of Suriname,Suriname,1951,,,61.9,13,21,,0,,,,,,,,,,,,,,,,,,,
National Party of Suriname,Suriname,1955,,,9.5,2,21,,0,,,,,,,,,,,,,,,,,,,
National Party of Suriname,Suriname,1958,,,42.9,9,21,,0,,,,,,,,,,,,,,,,,,,
National Party of Suriname,Suriname,1963,,,38.9,14,36,,0,,,,,,,,,,,,,,,,,,,
National Party of Suriname,Suriname,1967,,,43.6,17,39,29.5,0,,,,,,,,,,,,,,,,,,,
National Party of Suriname,Suriname,1969,,,28.2,11,39,27.2,0,,,,,,,,,,,,,,,,,,,
National Party of Suriname,Suriname,1973,,,,,,,1,50.3,18,,,,,,,,,,,,,,,,,
National Party of Suriname,Suriname,1977,,,,,,,1,45.4,22,,,,,,,,,,,,,,,,,
National Party of Suriname,Suriname,1987,,,27.5,14,51,,1,85.5,40,,,,,,,,,,,,,,,,,
National Party of Suriname,Suriname,1991,,,,,,,1,54.3,30,,,,,,,,,,,,,,,,,
National Party of Suriname,Suriname,1996,,,,,,,1,41.8,24,,,,,,,,,,,,,,,,,
National Party of Suriname,Suriname,2000,,,,,,,1,47.5,33,,,,,,,,,,,,,,,,,
National Party of Suriname,Suriname,2005,,,,,,,1,41.1,23,,,,,,,,,,,,,,,,,
National Party of Suriname,Suriname,2010,,,,,,,1,31.6,14,3,,,-1.179,,,,,,,,,,,,,
National Party of Suriname,Suriname,2015,,,,,,,1,37.3,18,3,,,-1.179,,,,,,,,,,,,,
New Front for Democracy and Development,Suriname,1991,,,58.8,30,51,54.3,2,54.3,30,,,,,,,,,,,,,,,,,
New Front for Democracy and Development,Suriname,1996,,,47.1,24,51,41.8,2,41.8,24,,,,,,,,,,,,,,,,,
New Front for Democracy and Development,Suriname,2000,,,64.7,33,51,47.5,2,47.5,33,,,,,,,,,,,,,,,,,
New Front for Democracy and Development,Suriname,2005,,,45.1,23,51,41.1,2,41.1,23,,,,,,,,,,,,,,,,,
New Front for Democracy and Development,Suriname,2010,,,27.5,14,51,31.6,2,31.6,14,,,,,,,,,,,,,,,,,
Progressive Reform Party / United Hindustani Party,Suriname,1949,,,28.6,6,21,,0,,,,,,,,,,,,,,,,,,,
Progressive Reform Party / United Hindustani Party,Suriname,1951,,,28.6,6,21,,0,,,,,,,,,,,,,,,,,,,
Progressive Reform Party / United Hindustani Party,Suriname,1955,,,28.6,6,21,,0,,,,,,,,,,,,,,,,,,,
Progressive Reform Party / United Hindustani Party,Suriname,1958,,,19,4,21,,0,,,,,,,,,,,,,,,,,,,
Progressive Reform Party / United Hindustani Party,Suriname,1963,,,22.2,8,36,,0,,,,,,,,,,,,,,,,,,,
Progressive Reform Party / United Hindustani Party,Suriname,1967,,,28.2,11,39,23,0,,,,,,,,,,,,,,,,,,,
Progressive Reform Party / United Hindustani Party,Suriname,1969,,,,,,,1,37.2,19,,,,,,,,,,,,,,,,,
Progressive Reform Party / United Hindustani Party,Suriname,1973,,,,,,,1,39.1,16,,,,,,,,,,,,,,,,,
Progressive Reform Party / United Hindustani Party,Suriname,1977,,,,,,,1,44.1,17,,,,,,,,,,,,,,,,,
Progressive Reform Party / United Hindustani Party,Suriname,1987,,,31.4,16,51,,1,85.5,40,,,,,,,,,,,,,,,,,
Progressive Reform Party / United Hindustani Party,Suriname,1991,,,,,,,1,54.3,30,,,,,,,,,,,,,,,,,
Progressive Reform Party / United Hindustani Party,Suriname,1996,,,,,,,1,41.8,24,,,,,,,,,,,,,,,,,
Progressive Reform Party / United Hindustani Party,Suriname,2000,,,,,,,1,47.5,33,0,,,,,,,,,,,,,,,,
Progressive Reform Party / United Hindustani Party,Suriname,2005,,,,,,,1,41.1,23,0,,,,,,,,,,,,,,,,
Progressive Reform Party / United Hindustani Party,Suriname,2010,,,,,,,1,31.6,14,3,,,-0.138,,,,,,,,,,,,,
Progressive Reform Party / United Hindustani Party,Suriname,2015,,,,,,,1,37.3,18,3,,,-0.138,,,,,,,,,,,,,
Party for National Unity and Solidarity,Suriname,1949,,,9.5,2,21,,0,,,,,,,,,,,,,,,,,,,
Party for National Unity and Solidarity,Suriname,1951,,,9.5,2,21,,0,,,,,,,,,,,,,,,,,,,
Party for National Unity and Solidarity,Suriname,1955,,,9.5,2,21,,0,,,,,,,,,,,,,,,,,,,
Party for National Unity and Solidarity,Suriname,1958,,,9.5,2,21,,0,,,,,,,,,,,,,,,,,,,
Party for National Unity and Solidarity,Suriname,1963,,,11.1,4,36,,0,,,,,,,,,,,,,,,,,,,
Party for National Unity and Solidarity,Suriname,1967,,,0,0,39,5.7,0,,,,,,,,,,,,,,,,,,,
Party for National Unity and Solidarity,Suriname,1969,,,,,,,1,23.4,8,,,,,,,,,,,,,,,,,
Party for National Unity and Solidarity,Suriname,1973,,,,,,,1,50.3,18,,,,,,,,,,,,,,,,,
Party for National Unity and Solidarity,Suriname,1977,,,,,,,1,45.4,22,,,,,,,,,,,,,,,,,
Party for National Unity and Solidarity,Suriname,1987,,,19.6,10,51,,1,85.5,40,,,,,,,,,,,,,,,,,
Party for National Unity and Solidarity,Suriname,1991,,,,,,,1,54.3,30,,,,,,,,,,,,,,,,,
Party for National Unity and Solidarity,Suriname,1996,,,,,,,1,41.8,24,,,,,,,,,,,,,,,,,
Party for National Unity and Solidarity,Suriname,2000,,,,,,,1,15.1,10,,,,,,,,,,,,,,,,,
Party for National Unity and Solidarity,Suriname,2005,,,,,,,1,14.5,5,,,,,,,,,,,,,,,,,
Party for National Unity and Solidarity,Suriname,2010,,,,,,,1,40.2,23,1,,,0.794,,,,,,,,,,,,,
Party for National Unity and Solidarity,Suriname,2015,,,,,,,1,10.5,5,,,,,,,,,,,,,,,,,
People's Alliance for Progress,Suriname,2005,,,9.8,5,51,14.5,2,14.5,5,,,,,,,,,,,,,,,,,
Progressive Workers' and Farmers' Union,Suriname,1977,,,,,,,1,44.1,17,,,,,,,,,,,,,,,,,
Progressive Workers' and Farmers' Union,Suriname,1987,,,7.8,4,51,1.7,0,,,,,,,,,,,,,,,,,,,
Progressive Workers' and Farmers' Union,Suriname,2010,,,,,,,1,40.2,23,,,,,,,,,,,,,,,,,
A-Combination,Suriname,2005,,,9.8,5,51,7.5,2,7.5,5,,,,,,,,,,,,,,,,,
A-Combination,Suriname,2010,,,13.7,7,51,4.7,2,4.7,7,,,,,,,,,,,,,,,,,
A-Combination,Suriname,2015,,,9.8,5,51,10.5,2,10.5,5,3,,,2.392,,,,,,,,,,,,,
National Party Combination,Suriname,1973,,,46.2,18,39,50.3,2,50.3,18,,,,,,,,,,,,,,,,,
National Party Combination,Suriname,1977,,,56.4,22,39,45.4,2,45.4,22,,,,,,,,,,,,,,,,,
Nationalist Republican Party,Suriname,1969,,,2.6,1,39,7.8,0,,,,,,,,,,,,,,,,,,,
Nationalist Republican Party,Suriname,1973,,,,,,,1,50.3,18,,,,,,,,,,,,,,,,,
Nationalist Republican Party,Suriname,1977,,,0,0,39,4.7,1,,,,,,,,,,,,,,,,,,,
Surinamese Democratic Party,Suriname,1967,,,5.1,2,39,5.8,0,,,,,,,,,,,,,,,,,,,
Progressive National Party,Suriname,1967,,,7.7,3,39,9.6,0,,,,,,,,,,,,,,,,,,,
Progressive National Party,Suriname,1969,,,,,,,1,23.4,8,,,,,,,,,,,,,,,,,
Action Front,Suriname,1963,,,16.7,6,36,,0,,,,,,,,,,,,,,,,,,,
Progressive Surinamese People's Party,Suriname,1958,,,19,4,21,,0,,,,,,,,,,,,,,,,,,,
Progressive Surinamese People's Party,Suriname,1963,,,11.1,4,36,,0,,,,,,,,,,,,,,,,,,,
Progressive Surinamese People's Party,Suriname,1969,,,,,,,1,23.4,8,,,,,,,,,,,,,,,,,
Progressive Surinamese People's Party,Suriname,1973,,,,,,,1,50.3,18,,,,,,,,,,,,,,,,,
Progressive Surinamese People's Party,Suriname,1977,,,,,,,1,45.4,22,,,,,,,,,,,,,,,,,
Progressive Surinamese People's Party,Suriname,1996,,,,,,,1,8.4,3,,,,,,,,,,,,,,,,,
Progressive Surinamese People's Party,Suriname,2010,,,,,,,1,13,6,,,,,,,,,,,,,,,,,
Action Group,Suriname,1967,,,10.3,4,39,13.5,0,,,,,,,,,,,,,,,,,,,
